"root_number","culm_length","panicle_width","panicle_length","leaf_number"
1,69.3,2,6.9,1
1,49.5,1.3,4.2,3
1,49.1,1.8,6.5,4
1,47,1.7,5.1,4
1,51.3,2,5.9,5
2,51.6,1.9,5.8,3
2,42.7,1.2,4.5,5
2,45.6,1.5,4.4,5
3,36.3,1.5,3.9,2
3,48.1,1.4,5,3
3,52.1,1.7,5,3
3,46.9,1.5,4.7,3
3,25,0.5,2.5,3
4,64,1.8,6.6,2
4,49,1.3,5.1,3
4,37.5,1.5,4.2,4
4,39.1,1.1,4.6,4
4,52.7,1.7,5.8,5
4,48.2,1.7,4.8,6
5,60.5,1.7,5.4,3
5,49.9,1.8,4.9,4
5,29.6,0.6,1.6,5
5,39.5,1.6,4.4,6
6,64.4,2,5.6,3
6,71.7,2.2,7.4,4
6,50.9,1.4,5.2,4
6,57.6,1.7,6.1,4
6,59.4,1.4,7.4,5
6,37.8,1.3,5,5
6,23.3,0.8,3.4,5
6,59,1.5,5.7,6
7,18.8,0.8,2.8,2
7,48.8,1.7,5.2,2
7,46.6,1.5,4.7,3
7,33.1,1.2,3.2,4
7,45,1.4,5,5
8,56.1,1.9,5.9,2
8,44.8,1.3,4.4,3
8,56,1.8,4.8,4
8,65.5,2.3,7.2,4
8,40.9,1.4,5,5
8,44.6,1.6,5,5
9,42.7,1.8,5.8,5
9,24.2,1.4,3.8,3
9,47.7,1.9,6,4
9,48.1,1.7,4.3,5
9,21.3,0.9,3.2,4
9,26.3,1.9,4,3
10,39.3,1.7,5.2,4
10,58.7,1.8,4.9,1
10,48.3,1.6,4.1,2
10,49,1.9,5.2,1
10,39.1,1.4,4,2
10,33.6,1.4,4.1,4
